Domanda,Testo,Stralcio,Repertorio
,"Sebbene ancora non esista una risposta certa e univoca del funzionamento mentale dei bambini con ADHD, numerose ricerche affermano che i loro problemi principali riguardano il funzionamento dei lobi frontali che controllano l'attenzione sostenuta, la memoria a breve termine (soprattutto visuo-spaziale), la pianificazione e la correzzione degli errori (le cosiddette funzioni esecutive). Relativamente al deficit di attenzione, il problema principale dei bambini con ADHD riside nella difficoltà a mantenere l'interesse nei confronti dei lavori scolastici per il tempo necessario al loro svolgimento. Questo ci dice che, potenzialmente, non c'è l'incapacità di prestare attenzione in termini assoluti. Se però questi bambini vengono lasciati da soli ad analizzare le richieste di un compito, considerare le diverse alternative di risposta e ad applicarsi a un lavoro cognitivo per un periodo prolungato, le prestazioni risulteranno scadenti. Queste difficoltà metacognitive spesso sono influenzate anche da fattori motivazionali che in alcuni rari casi riducono il deficit a carico delle funzioni esecutive, ma in molti casi lo peggiorano. Allo stato attuale della ricerca si può affermare che i fattori motivazionali (la capacità di sforzarsi dei bambini) sono in grado di ridurre solo in parte il deficit nelle funzioni esecutive. Possiamo dunque confermare che i bambini con ADHD manifestino una versa difficoltà nel programmare e monitorare i loro comportamenti, anche quando sono sufficientemente motivati a farlo ",Sebbene ancora non esista una risposta certa e univoca del funzionamento mentale dei bambini con ADHD,RIDIMENSIONAMENTO 
,,"numerose ricerche affermano che i loro problemi principali riguardano il funzionamento dei lobi frontali che controllano l'attenzione sostenuta, la memoria a breve termine (soprattutto visuo-spaziale), la pianificazione e la correzione degli errori (le cosiddette funzioni esecutive)",SANCIRE 
,,Relativamente al deficit di attenzione il problema principale dei bambini con ADHD riside nella difficoltà a mantenere l'interesse nei confronti dei lavori scolastici per il tempo necessario al loro svolgimento,SANCIRE 
,,"Questo ci dice che, potenzialmente, non c'è l'incapacità di prestare attenzione in termini assoluti",POSSIBILITA 
,,"Se però questi bambini vengono lasciati da soli ad analizzare le richieste di un compito, considerare le diverse alternative di risposta e ad applicarsi a un lavoro cognitivo per un periodo prolungato, le prestazioni risulteranno scadenti",PREVISIONE 
,,Queste difficoltà metacognitive spesso sono influenzate anche da fattori motivazionali che in alcuni rari casi riducono il deficit a carico delle funzioni esecutive ma in molti casi lo peggiorano,POSSIBILITA 
,,Allo stato attuale della ricerca si può affermare che i fattori motivazionali (la capacità di sforzarsi dei bambini) sono in grado di ridurre solo in parte il deficit nelle funzioni esecutive. ,CONFERMA 
,,Possiamo dunque confermare che i bambini con ADHD manifestino una vera difficoltà nel programmare e monitorare i loro comportamenti anche quando sono sufficientemente motivati a farlo ,SANCIRE 
,"Il bambino con ADHD ha marcate difficoltà a inibire le risposte automatiche, cioè quelle che istintivamente tendiamo a mettere in atto prima di riflettere su quale sia la migliore. La gestione simultanea di diversi aspetti è molto difficile per un soggetto con ADHD perchè ogni stimolo distraente, esterno al compito, lo distoglie da esso o da qualunque altra azione in corso. Dalla difficoltà a eliminare gli stimoli non rilevanti deriva anche una percezione del tempo alterata",Il bambino con ADHD ha marcate difficoltà a inibire le risposte automatiche,SANCIRE 
,,cioè quelle che istintivamente tendiamo a mettere in atto prima di riflettere su quale sia la migliore,SPECIFICAZIONE 
,,"La gestione simultanea di tali aspetti è molto difficile per un soggetto con ADHD perchè ogni stimolo distraente, esterno al compito, lo distoglie da esso o da qualunque altra azione in corso",CAUSA 
,,Dalla difficoltà a eliminare gli stimoli non rilevanti deriva anche una percezione del tempo alterata,CAUSA 
,"Purtroppo i soggetti con ADHD, oltre ai sintomi primari già descritti, manifestano anche altri compotamenti disturbanti ritenuti secondari, in quanto si presume derivino dall'interazione tra le caratteristiche primarie del disturbo e il loro ambiente. Il crescente interesse clinico che ruota attorno a questa sindrome è da ricercare in tre ordini di fattori: 1. elevata indicidenza del disturbo; 2. la compresenza di numerosi altri disturbi; 3. l'elevata capacità di manifestare nel prosieguo della vita delle gravi difficoltà. ","Purtroppo i soggetti con ADHD, oltre ai sintomi primari già descritti, manifestano anche altri comportamenti disturbanti",SANCIRE 
,,ritenuti secondari in quanto si presume derivino dall'interazione tra le caratteristiche primarie del disturbo e il loro ambiente.,CONFERMA
,,Il crescente interesse clinico che ruota attorno a questa sindrome è da ricercare in tre ordini di fattori: 1. elevata indicidenza del disturbo; 2. la compresenza di numerosi altri disturbi; 3. l'elevata capacità di manifestare nel prosieguo della vita delle gravi difficoltà.,SANCIRE 
,"Lo sviluppo di tratti oppositivi e provocatori rappresenta un aspetto assai problematico dell'ADHD, in quanto può essere corresponsabile di una serie di fallimenti in ambito scolastico e sociale, e può procurare notevoli e giustificate preoccupazioni ai genitori. ","Lo sviluppo di tratti oppositivi e provocatori rappresenta un aspetto assai problematico dell'ADHD,",GIUDIZIO 
,,"in quanto può essere corresponsabile di una serie di fallimenti in ambito scolastico e sociale, e può procurare notevoli e giustificate preoccupazioni ai genitori. ",IMPLICAZIONE 
,"Se dal punto di vista cognitivo le prestazioni del gruppo con ADHD sono inferiori a quelle del gruppo che presenta anche aggressività o un vero e proprio disturbo della condotta (con ADHD  e disturbo della condotta), il profilo comportamentale del gruppo con disturbo misto (comorbilità) è sicuramente maggiormente compromesso, soprattutto per quanto riguarda le relazioni con i pari, con gli adulti e la prognosi in età adolescenziale.","Se dal punto di vista cognitivo le prestazioni del gruppo con ADHD sono inferiori a quelle del gruppo che presenta anche aggressività o un vero e proprio disturbo della condotta (con ADHD  e disturbo della condotta), il profilo comportamentale del gruppo con disturbo misto (comorbilità) è sicuramente maggiormente compromesso",SANCIRE 
,,"soprattutto per quanto riguarda le relazioni con i pari, con gli adulti e la prognosi in età adolescenziale.",SPECIFICAZIONE 
,"Anche nell'elaborazione delle informazioni di tipo sociale, ci sono differenze tra i bambini iperattivi/aggressivi e quelli solo iperattivi; i primi infatti attribuiscono più intenzioni ostili al comportamento dei pari in situazioni ambigue e rispondono più aggressivamente a comportamenti ambigui e provocatori. Molti dati suggeriscono inoltre la possibilità che fattori socioculturali giochino un ruolo importante nello sviluppo del disturbo della condotta, mentre l'ADHD appare più legato a fattori predisponenti innati. ","Anche nell'elaborazione delle informazioni di tipo sociale, ci sono differenze tra i bambini iperattivi/aggressivi e quelli solo iperattivi",SANCIRE 
,,i primi infatti attribuiscono più intenzioni ostili al comportamento dei pari in situazioni ambigue e rispondono più aggressivamente a comportamenti ambigui e provocatori. ,CONFERMA
,,Molti dati suggeriscono inoltre la possibilità che fattori socioculturali giochino un ruolo importante nello sviluppo del disturbo della condotta mentre l'ADHD appare più legato a fattori predisponenti innati. ,POSSIBILITA 
,"è stato ipotizzato che il 25% dei soggetti con ADHD presenti anche disturbi d'ansia. È tuttavia importante differenziare i due disturbi in quanto, presentando alcune caratteristiche comuni, potrebbero essere confusi dal punto di vista clinico. I bambini con disturbi d'ansia possono infatti manifestare problemi di concentrazione, impulsività e irrequietezza, proprio come quelli con ADHD, dai quali però sono chiaramente distinguibili. Per esempio i primi, al contrario dei secondi, sono indebitamente preoccupari riguardo il loro futuro. Anche nella distribuzione fra i sessi, i due disturbi sono differenziabili; infatti i problemi d'ansia si presentano in misura doppia nelle femmine rispetto ai maschi (il quadro è completamente ribaltato nell'ADHD. In età adolescenziale alcuni ragazzi con ADHD possono sviluppare dei tratti ansiosi a seguito di una serie di fallimenti in ambito sociale e scolastico che li rendono insicuri rispetto alle loro capacità e incerti sui risultati dei loro comportamenti. ",è stato ipotizzato che il 25% dei soggetti con ADHD presenti anche disturbi d'ansia,SANCIRE 
,,È tuttavia importante differenziare i due disturbi ,PRESCRIZIONE 
,," in quanto, presentando alcune caratteristiche comuni, potrebbero essere confusi dal punto di vista clinico. ",POSSIBILITA 
,,"I bambini con disturbi d'ansia possono infatti manifestare problemi di concentrazione, impulsività e irrequietezza, proprio come quelli con ADHD, ",CONFERMA 
,,dai quali però sono chiaramente distinguibili.,RIDIMENSIONAMENTO 
,,"Per esempio i primi, al contrario dei secondi, sono indebitamente preoccupati riguardo il loro futuro",CONFERMA
,,"Anche nella distribuzione fra i sessi, i due disturbi sono differenziabili",SANCIRE 
,,infatti i problemi d'ansia si presentano in misura doppia nelle femmine rispetto ai maschi,CONFERMA 
,,(il quadro è completamente ribaltato nell'ADHD),SPECIFICAZIONE 
,,In età adolescenziale alcuni ragazzi con ADHD possono sviluppare dei tratti ansiosi a seguito di una serie di fallimenti in ambito sociale e scolastico che li rendono insicuri rispetto alle loro capacità e incerti sui risultati dei loro comportamenti. ,IMPLICAZIONE 
,"Un altro ampio gruppo di bambini con ADHD riceve una seconda diagnosi di disturbo dell'umore. Dal punto di vista clinico non risulta facile discriminare un ADHD da un disturbo dell'umore, in quanto i genitori riferiscono, per entrambe le problematiche, difficoltà di concentrazione e iperattività. In realtà i bambini che vivono un disagio emotivo manifestano spesso il loro malessere attraverso una serie di comportamenti tra cui agitazione e disattenzione. Come nel caso del disturbo d'ansia, alcuni ragazzi con ADHD possono sviluppare i sintomi del disturbo d'umore perchè vivono un senso di fallimento e di frustrazione a CAUSA dei numerosi insuccessi scolastici e sociali. Questa modalità di pensiero nasce soprattutto dalla loro idea che i fallimenti siano dovuti a un deficit di abilità. Si è visto, per esempio, che i bambini con ADHD interrompono più frequentemente un'attività prima degli altri, quando sperimentano un insuccesso o una frustrazione, confermando quindi una loro maggiore predisposizione a sviluppare una sfiducia nella propria capacità di incidere sugli eventi e, in ultima analisi, un atteggiamento depressivo. ",Un altro ampio gruppo di bambini con ADHD riceve una seconda diagnosi di disturbo dell'umore.,SANCIRE
,,"Dal punto di vista clinico non risulta facile discriminare un ADHD da un disturbo dell'umore, in quanto i genitori riferiscono, per entrambe le problematiche, difficoltà di concentrazione e iperattività.",SANCIRE 
,,In realtà i bambini che vivono un disagio emotivo manifestano spesso il loro malessere attraverso una serie di comportamenti tra cui agitazione e disattenzione,CONFERMA
,,"Come nel caso del disturbo d'ansia, alcuni ragazzi con ADHD possono sviluppare i sintomi del disturbo d'umore perchè vivono un senso di fallimento e di frustrazione a causa dei numerosi insuccessi scolastici e sociali.",IMPLICAZIONE 
,,Questa modalità di pensiero nasce soprattutto dalla loro idea che i fallimenti siano dovuti a un deficit di abilità. ,CAUSA
,,"Si è visto, per esempio, che i bambini con ADHD interrompono più frequentemente un'attività prima degli altri, quando sperimentano un insuccesso o una frustrazione confermando quindi una loro maggiore predisposizione a sviluppare una sfiducia nella propria capacità di incidere sugli eventi e, in ultima analisi, un atteggiamento depressivo",CONFERMA 
,"Il disturbo da deficit attentivo/iperattività o ADHD è l'etichetta diagnostica utilizzata per rappresentare e delineare all'interno di una specifica categoria una popolazione eterogenea di persone, le quali manifestano tutta una serie di difficoltà legate alla disattenzione e/o all'iperattività e all'impulsività. ","Il disturbo da deficit attentivo/iperattività o ADHD è l'etichetta diagnostica utilizzata per rappresentare e delineare all'interno di una specifica categoria una popolazione eterogenea di persone,  le quali manifestano tutta una serie di difficoltà legate alla disattenzione e/o all'iperattività e all'impulsività.",SANCIRE 
,"I segni clinici relativi alla disattenzione si riscontrano soprattutto in soggetti che, rispetto alle prestazioni attese, presentano una chiara ed evidente difficoltà a rimanere attenti o a lavorare su un medesimo compito per un periodo adeguatamente prolungato.Gli indici clinici riferiti all'iperattività invece vengono ricavati dall'osservazione di eccessivi livelli di attività motoria e verbale, sempre in relazione all'età del bambino. Infatti, nel soggetto iperattivo osserviamo una continua agitazione, difficoltà a rimanere seduto e/o a restare fermo al proprio posto. ","I segni clinici relativi alla disattenzione si riscontrano soprattutto in soggetti che, rispetto alle prestazioni attese, presentano una chiara ed evidente difficoltà a rimanere attenti o a lavorare su un medesimo compito per un periodo adeguatamente prolungato.",VALUTAZIONE 
,,"Gli indici clinici riferiti all'iperattività invece vengono ricavati dall'osservazione di eccessivi livelli di attività motoria e verbale, sempre in relazione all'età del bambino",VALUTAZIONE 
,,"Infatti, nel soggetto iperattivo osserviamo una continua agitazione, difficoltà a rimanere seduto e/o a restare fermo al proprio posto. ",CONFERMA 
,"L'impulsività sembrerebbe porsi come una caratteristica dell'ADHD che si può manifestare nella forte incapacità di posticipare la soddisfazione di un desiderio, oppure nell'incapacità di inibire un comportamento inappropriato in un determinato contesto (ad esempio inibire l'impulso alla corsa anche se ci si trova in un contesto, come lungo una strada trafficata, che invece suggerisce prudenza). Un aspetto molto studiato e che approfondiremo, è anche quello legato al fatto che il bambino impulsivo sembra non tenere in considerazione le possibili conseguenze a cui un'azione può portare. ",L'impulsività sembrerebbe porsi come una caratteristica dell'ADHD che si può manifestare nella forte incapacità di posticipare la soddisfazione di un desiderio oppure nell'incapacità di inibire un comportamento inappropriato in un determinato contesto,POSSIBILITA 
,,"(ad esempio inibire l'impulso alla corsa anche se ci si trova in un contesto, come lungo una strada trafficata, che invece suggerisce prudenza).",SPECIFICAZIONE 
,,"Un aspetto molto studiato e che approfondiremo, è anche quello legato al fatto che ",COMMENTO 
,,il bambino impulsivo sembra non tenere in considerazione le possibili conseguenze a cui un'azione può portare.,SANCIRE 
,"L'ADHD è uno dei disturbi più comuni dell'età evolutiva, anche se mancano dati certi sulla prevalenza. Le stime propongono dall'1% fino al 3-6% della popolazione in età pediatrica. La prevalenza maggiore è nei ragazzi piuttosto che nelle ragazze. ",L'ADHD è uno dei disturbi più comuni dell'età evolutiva,SANCIRE 
,,anche se mancano dati certi sulla prevalenza,RIDIMENSIONAMENTO 
,,Le stime propongono dall'1% fino al 3-6% della popolazione in età pediatrica. ,SANCIRE 
,,La prevalenza maggiore è nei ragazzi piuttosto che nelle ragazze,SPECIFICAZIONE 
,"I sintomi cardine dell'ADHD sono il deficit di attenzione, l'iperattività e l'impulsività. Tali sintomi ovviamente devono essere : -più gravi rispetto ai comportamenti rilevati nei pari; - inadeguati rispetto al livello di sviluppo raggiunto; - Presenti in quasi tutti i contesti di vita; - interferenti in modo significativo nel funzionamento adattivo.","I sintomi cardine dell'ADHD sono il deficit di attenzione, l'iperattività e l'impulsività. ",SANCIRE 
,,Tali sintomi ovviamente devono essere: -più gravi rispetto ai comportamenti rilevati nei pari; - inadeguati rispetto al livello di sviluppo raggiunto; - Presenti in quasi tutti i contesti di vita; - interferenti in modo significativo nel funzionamento adattivo.,SPECIFICAZIONE 
,"L'ADHD si caratterizza per un'importante clinica. Infatti, oltre ai tre diversi sottotipi (disattento, iperattivo e impulsivo), è spesso presente una certa comorbilità con disturbi sia esternalizzanti (DOP, DOC) che internalizzanti (ansia, disturbi dell'umore ecc.) nonchè comorbilità legate ai DSA. ",L'ADHD si caratterizza per un'importante clinica,SANCIRE 
,,"Infatti, oltre ai tre diversi sottotipi (disattento, iperattivo e impulsivo), è spesso presente una certa comorbilità con disturbi sia esternalizzanti (DOP, DOC) che internalizzanti (ansia, disturbi dell'umore ecc.) nonchè comorbilità legate ai DSA. ",CONFERMA 
,"L'ADHD è spesso presente già in età prescolare e la storia di questi bambini documenta una marcata irrequietezza motoria nelle prime fasi dello sviluppo. Nei primi anni di vita è però difficile formulare una diagnosi differenziale con altri disturbi dello sviluppo e, soprattutto, determinare con sicurezza la significativa compromissione funzionale del bambino. Di conseguenza tra la nascita e i 6 anni la diagnosi di ADHD non può che essere provvisoria e il ricorso a una terapia farmacologica appare quantomeno inopportuno. ",L'ADHD è spesso presente già in età prescolare e la storia di questi bambini documenta una marcata irrequietezza motoria nelle prime fasi dello sviluppo,SANCIRE 
,,"Nei primi anni di vita è però difficile formulare una diagnosi differenziale con altri disturbi dello sviluppo e, soprattutto, determinare con sicurezza la significativa compromissione funzionale del bambino.  Di conseguenza tra la nascita e i 6 anni la diagnosi di ADHD non può che essere provvisoria e il ricorso a una terapia farmacologica appare quantomeno inopportuno. ",CAUSA
,"A partire dai 6 anni, e via via fino all'adolescenza, i sintomi di iperattività/impulsività tendono a diventare sempre meno evidenti e a manifestarsi per lo più come un senso interiore di irrequietezza, piuttosto che come grossolana iperattività motoria. Il deficit di attenzione, viceversa, è sempre più evidente come marcata difficoltà a organizzare e a completare le attività intraprese con conseguenti insuccessi scolastici e sociali. ","A partire dai 6 anni, e via via fino all'adolescenza, i sintomi di iperattività/impulsività tendono a diventare sempre meno evidenti e a manifestarsi per lo più come un senso interiore di irrequietezza, piuttosto che come grossolana iperattività motoria. Il deficit di attenzione, viceversa, è sempre più evidente come marcata difficoltà a organizzare e a completare le attività intraprese con conseguenti insuccessi scolastici e sociali. ",SANCIRE 
,"Non sono molti i dati relativi agli adulti con ADHD e occorre ricordare che fino a non molti anni fa si riteneva che il disturbo si risolvesse con l'età. In realtà, soltanto un terzo dei bambini con ADHD da adulti non manifestano più sintomi di inattenzione o di iperattività. Circa la metà dei bambini con ADHD, invece, continuano a mostrare da adolescenti e spesso anche da adulti i sintomi d'inattenzione e iperattività accompagnati talvolta da difficoltà sociali e del comportamento.",Non sono molti i dati relativi agli adulti con ADHD,SANCIRE 
,,"e occorre ricordare che fino a non molti anni fa si riteneva che il disturbo si risolvesse con l'età. In realtà, soltanto un terzo dei bambini con ADHD da adulti non manifestano più sintomi di inattenzione o di iperattività.",CONTRAPPOSIZIONE 
,,"Circa la metà dei bambini con ADHD, invece, continuano a mostrare da adolescenti e spesso anche da adulti i sintomi d'inattenzione e iperattività accompagnati talvolta da difficoltà sociali e del comportamento.",CONFERMA
,"Infine, il 15-20% delle persone con ADHD mostra gli esiti del disturbo stesso: divenuti adolescenti e poi adulti presentano infatti oltre ai sintomi di inattenzione, impulsività e iperattività, anche altri disturbi psicopatologici quali alcolismo, tossicodipendenza e, in alcuni casi, un vero e proprio disturbo di personalità antisociale.","Infine, il 15-20% delle persone con ADHD mostra gli esiti del disturbo stesso",SANCIRE 
,,"divenuti adolescenti e poi adulti presentano infatti oltre ai sintomi di inattenzione, impulsività e iperattività, anche altri disturbi psicopatologici quali alcolismo, tossicodipendenza e, in alcuni casi, un vero e proprio disturbo di personalità antisociale.",CONFERMA
,"L'indice predittivo più importante per un'evoluzione di questo tipo è la presenza, fin dall'infanzia, di un disturbo della condotta associato all'ADHD: tale associazione presenta una prognosi significativamente peggiore di quella del disturbo di condotta isolato.  ","L'indice predittivo più importante per un'evoluzione di questo tipo è la presenza, fin dall'infanzia, di un disturbo della condotta associato all'ADHD",SANCIRE 
,,tale associazione presenta una prognosi significativamente peggiore di quella del disturbo di condotta isolato,GIUDIZIO
,"Raramente i sintomi caratteristici dell'ADHD si presentano da soli, ed è spesso evidente un'elevata comorbilità con altri disturbi psichiatrici. Studi recenti mostrano, ad esempio, un'elevata associazione (fino al 50%) dell'ADHD con altri disturbi del comportamento quali il disturbo della condotta e il disturbo oppositivo provocatorio, ma anche con disturbi depressivi (15-20%) con disturbi d'ansia (25%) e con disturbi dell'apprendimento (10-25%). Infine, come già riportato, in adolescenza e successivamente in età adulta è frequente un'associazione tra ADHD e abuso di sostanze, spesso in comorbilità con un disturbo di condotta o con un disturbo bipolare. ","Raramente i sintomi caratteristici dell'ADHD si presentano da soli, ed è spesso evidente un'elevata comorbilità con altri disturbi psichiatrici.",SANCIRE 
,,"Studi recenti mostrano, ad esempio, un'elevata associazione (fino al 50%) dell'ADHD con altri disturbi del comportamento quali il disturbo della condotta e il disturbo oppositivo provocatorio, ma anche con disturbi depressivi (15-20%) con disturbi d'ansia (25%) e con disturbi dell'apprendimento (10-25%)",CONFERMA 
,,"Infine, come già riportato, in adolescenza e successivamente in età adulta è frequente un'associazione tra ADHD e abuso di sostanze, spesso in comorbilità con un disturbo di condotta o con un disturbo bipolare.",SANCIRE 
,"Rispetto a quanto si è già detto sul disturbo, è fondamentale rimarcare che iperattività, impulsività e inattenzione non sono caratteristiche esclusive dell'ADHD. I sintomi elencati per il disturbo da ADHD posson essere facilmente confusi con quelli tipici di altre condizioni, tra cui alcune patologie caratterizzate da manifestazioni come irrequietezza, affaticabilità, difficoltà di concentrazione e memoria, irritabilità: ad esempio, il disturbo d'ansia, il disturbo d'umore, i disturbi specifici dell'apprendimento, finanche esperienze personali e familiari particolarmente difficili. ","Rispetto a quanto si è già detto sul disturbo, è fondamentale rimarcare che iperattività, impulsività e inattenzione non sono caratteristiche esclusive dell'ADHD",SANCIRE 
,," I sintomi elencati per il disturbo da ADHD possono essere facilmente confusi con quelli tipici di altre condizioni, ",POSSIBILITA 
,,"tra cui alcune patologie caratterizzate da manifestazioni come irrequietezza, affaticabilità, difficoltà di concentrazione e memoria, irritabilità: ad esempio, il disturbo d'ansia, il disturbo d'umore, i disturbi specifici dell'apprendimento, finanche esperienze personali e familiari particolarmente difficili. ",SPECIFICAZIONE 
,"Uno dei compiti più importanti del clinico esperto è quello di considerare la possibile contemporanea presenza, in un soggetto, di più disturbi. Tecnicamente questo prende il nome di comorbilità. oltre i 3/4 dei bambini con ADHD presentano un disturbo associato, che può rendere più difficile il riconoscimento della sindrome stessa e la formulazione di una possibile diagnosi.  ","Uno dei compiti più importanti del clinico esperto è quello di considerare la possibile contemporanea presenza, in un soggetto, di più disturbi.",COMMENTO 
,,Tecnicamente questo prende il nome di comorbilità.,SPECIFICAZIONE 
,,"Oltre i 3/4 dei bambini con ADHD presentano un disturbo associato, ",SANCIRE 
