Domanda,Testo,Stralcio,Repertorio
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,"la prigione uccide-l-anima interiormente
",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,"se non ha ness in-partic-se-stran 
",OPINIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-e-cosi-buono,non-e-cosi-buono,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info grazie-all' indicazione,ho-av-l-info grazie-all' indicazione,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
","qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche le-vedo-sempre,perche le-vedo-sempre,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dentro-il-carc,dentro-il-carc,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so,non-lo-so,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,e gia un-mese-sono-qui,e gia un-mese-sono-qui,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"avevo gia disc-cn-mio-amic di-questo, era-nella-prig aveva gia avuto l' accesso
","avevo gia disc-cn-mio-amic di-questo, 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"avevo gia disc-cn-mio-amic di-questo, era-nella-prig aveva gia avuto l' accesso
",era-nella-prig aveva gia avuto l' accesso,SPECIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-i-deten,attr-i-deten,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto domande xche-leggo dei libri,ho-conosciuto domande xche-leggo dei libri,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"questa-vita la vivevo prima-d' entrare-in-prig 
","questa-vita la vivevo prima-d' entrare-in-prig 
",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so ,non-lo-so ,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare","lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,il lav-all-est-della prigione,il lav-all-est-della prigione,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lavoro all-int-della prigione perche cosi-passa-il-tempo, ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma ","lavoro all-int-della prigione perche cosi-passa-il-tempo,",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lavoro all-int-della prigione perche cosi-passa-il-tempo, ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma ","ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma 
",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ness-risposta perche non-ho-capito il significato,ness-risposta perche non-ho-capito il significato,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la so questa domanda,la so questa domanda,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le sapevo queste-domande.,le sapevo queste-domande.,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-rispondo perche non-capisco la domanda,non-rispondo perche non-capisco la domanda,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-prob.,non-ho-ness-prob.,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
","ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai deten-sono-con-me 
","dai deten-sono-con-me 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"attr-massmedia e attr-istituto a cui noi siamo in-affidamento 
","attr-massmedia e attr-istituto a cui noi siamo in-affidamento 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visto,l-ho-visto,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-lo-so 
","non-lo-so 
",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto","ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-problema,non-ho-ness-problema,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,questa-vita la vivevo prima-d-entrare in-carc,questa-vita la vivevo prima-d-entrare in-carc,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-l-info tr-le-deten 
","ho-av-l-info tr-le-deten 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con il freq-altri-deten ,con il freq-altri-deten ,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr gli agenti-penit,attr gli agenti-penit,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-conosco-ness xche-io sono sano-di-salute e sano-di-mente, ma credo che queste-cose facciano-bene psicologicamente","non-conosco-ness xche-io sono sano-di-salute e 
sano-di-mente,",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-conosco-ness xche-io sono sano-di-salute e sano-di-mente, ma credo che queste-cose facciano-bene psicologicamente",ma credo che queste-cose facciano-bene psicologicamente,OPINIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-ne-ho-con-ness 
","non-ne-ho-con-ness 
",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,me-lo-hanno-detto i miei-amici,me-lo-hanno-detto i miei-amici,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
","mi e-stato-detto da-un-operatore, dai comp-di-cella 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-sono i benefici che si-hanno in-galera 
","xche-sono i benefici che si-hanno in-galera 
",COMMENTO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,bene ,bene ,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv","partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,i deten parlano,i deten parlano,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten. ,dagli-altri-deten. ,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visti ,l-ho-visti ,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalla-direttrice ,dalla-direttrice ,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
","non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in-carc,in-carc,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lo-so perche lo-sto-vivendo 
","lo-so perche lo-sto-vivendo 
",GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-letto sul-muro 
","ho-letto sul-muro 
",GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
","tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-visto delle pers-hanno-pass
questa-esp 
","ho-visto delle pers-hanno-pass
questa-esp 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-tv e attr-gli-amici,attr-tv e attr-gli-amici,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ripeto che non-so-bene la legge-della-prig.,ripeto che non-so-bene la legge-della-prig.,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lav-all-est dell' istituto,lav-all-est dell' istituto,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto le opport-trattam perche le-ho-capite,ho-conosciuto le opport-trattam perche le-ho-capite,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto opport dai-deten in-questa prigione, ho-seguito un-corso dentro l' istituto e ho-lavorato per-un-periodo determinato","ho-conosciuto opport dai-deten in-questa prigione,",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto opport dai-deten in-questa prigione, ho-seguito un-corso dentro l' istituto e ho-lavorato per-un-periodo determinato","ho-seguito un-corso dentro 
l' istituto e ho-lavorato per-un-periodo determinato",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui","ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' istituto perche non-ho-ness qui-in-italia
lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne",lav-all-int dell' istituto perche non-ho-ness qui-in-italia,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' istituto perche non-ho-ness qui-in-italia
lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne",lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-hanno-detto,mi-hanno-detto,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato","ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-ha-detto qualcuno,mi-ha-detto qualcuno,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"comp-di-cella 
","comp-di-cella 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so queste-cose in-carc 
","xche-lo-so queste-cose in-carc 
",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so che queste-cose in-carc 
","xche-lo-so che queste-cose in-carc 
",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"con-la-pratica 
","con-la-pratica 
",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai propri-connazion e da-tv 
","dai propri-connazion e da-tv 
",DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info da (amici),ho-av-l-info da (amici),DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-visto dentro un-altro,ho-visto dentro un-altro,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo da-altri-imputati che sono-stati in-altri,ho-saputo da-altri-imputati,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo da-altri-imputati che sono-stati in-altri,che sono-stati in-altri,SPECIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,li-ho nei manifesti,li-ho nei manifesti,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni",tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc,OPINIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni","che si 
e sempre dimostrato molto int-al-beness di-noi,",SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni","ed anche alla coll-person-peni
",SPECIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche e-molto-normale qui,perche e-molto-normale qui,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l' unico-cont che ho con-l-esterno sono le telefonate,l' unico-cont che ho con-l-esterno sono le telefonate,NON RISPOSTA
