Domanda,Testo,Stralcio,Repertorio
Come descriverebbe un trattamento efficace?,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",,GIUDIZIO
Come descriverebbe un trattamento efficace?,utile_per_la_popolaz detenuta,,GIUDIZIO
Come descriverebbe un trattamento efficace?,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",,GIUDIZIO
Come descriverebbe un trattamento efficace?,per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti,,VALUTAZIONE
Come descriverebbe un trattamento efficace?,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",,GIUDIZIO
Come descriverebbe un trattamento efficace?,il detenuto non delinqua più,,SANCIRE LA REALTÀ
Come descriverebbe un trattamento efficace?,un_trattamento dia almeno il 50% dei_risultati positivi,,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,importante,,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lavorare all-int dell' istituto,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la-conosco xche-ho-usuf di questa-opport di trattam-ried,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-l-educ,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-interno dell' istituto,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-capito,,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,quando-ero-malato,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la perman in-carc,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la prec-perman in-carc,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr noi-stessi,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dallo-scritto,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli-altri-deten,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs","prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs",DERESPONSABILIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs",,
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli amici-di-un-altro,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info di-trattam-rieduc con-la-scuola e fatto con la speranza che mi-aiuta,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info di-trattam-rieduc con-la-scuola e fatto con la speranza che mi-aiuta,,POSSIBILITÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in una maniera-positiva,,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,la prigione uccide-l-anima interiormente se non ha ness in-partic-se-stran ,CAUSA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,,CAUSA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-e-cosi-buono,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info grazie-all' indicazione,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"qlch-xs-ne-ha-par xche-io le-ho-ancora-viste 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche le-vedo-sempre,,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dentro-il-carc,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so,,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,e gia un-mese-sono-qui,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"avevo gia disc-cn-mio-amic di-questo, era-nella-prig aveva gia avuto l' accesso
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"avevo gia disc-cn-mio-amic di-questo, era-nella-prig aveva gia avuto l' accesso
",,SPECIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-i-deten,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto domande xche-leggo dei libri,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"questa-vita la vivevo prima-d' entrare-in-prig 
",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-lo-so ,,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int-d prigione e lavoravo-all-est della prigione perche avevo-la-forza, e fuori avevo-un-lavoro ma dopo non ci fu niente-da-fare",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,il lav-all-est-della prigione,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lavoro all-int-della prigione perche cosi-passa-il-tempo, ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma ",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lavoro all-int-della prigione perche cosi-passa-il-tempo, ho rapp-con-la-famig scrivendo-lettere per-sap-lor-not in-partic mia mamma ",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ness-risposta perche non-ho-capito il significato,,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la so questa domanda,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le sapevo queste-domande.,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-rispondo perche non-capisco la domanda,,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-prob.,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam che ho-segnato nella-dom-prec perche ho-av-l-esp come-straniero per 
8-anni-in-liberta e in-carc e 30-anni-sono-passati della-mia-vita 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai deten-sono-con-me 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"attr-massmedia e attr-istituto a cui noi siamo in-affidamento 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visto,,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-lo-so 
",,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto delle-opport di trat-rieduc dalla-massmedia, dall-istituto",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-ness-problema,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,questa-vita la vivevo prima-d-entrare in-carc,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-av-l-info tr-le-deten 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con il freq-altri-deten ,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr gli agenti-penit,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-conosco-ness xche-io sono sano-di-salute e sano-di-mente, ma credo che queste-cose facciano-bene psicologicamente",,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-conosco-ness xche-io sono sano-di-salute e sano-di-mente, ma credo che queste-cose facciano-bene psicologicamente",,OPINIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-ne-ho-con-ness 
",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,me-lo-hanno-detto i miei-amici,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"mi e-stato-detto da-un-operatore, dai comp-di-cella 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-sono i benefici che si-hanno in-galera 
",,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,bene ,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"partecipando alle lezioni-proposte scuola parlando, chiedendo-consig alle agenti, assistendo a tutte-le-attiv",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,i deten parlano,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dagli-altri-deten. ,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-ho-visti ,,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalla-direttrice ,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non sono mai-stata-carc, mi-sono-ammalata,
sono-paralizzata, vi prego scrivetemi subito 
",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in-carc,,GENERALIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lo-so perche lo-sto-vivendo 
",,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-letto sul-muro 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tra-pop-deten si-parla-sempre 
dei-carc e i prob-che-esist sempre. 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-visto delle pers-hanno-pass
questa-esp 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr-tv e attr-gli-amici,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ripeto che non-so-bene la legge-della-prig.,,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lav-all-est dell' istituto,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-conosciuto le opport-trattam perche le-ho-capite,,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto opport dai-deten in-questa prigione, ho-seguito un-corso dentro l' istituto e ho-lavorato per-un-periodo determinato",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto opport dai-deten in-questa prigione, ho-seguito un-corso dentro l' istituto e ho-lavorato per-un-periodo determinato",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-conosciuto l' opport-trattam attr-aiutanti, e attr-resp presenti-qui",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' istituto perche non-ho-ness qui-in-italia
lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"lav-all-int dell' istituto perche non-ho-ness qui-in-italia
lav-all-est dell' istituto per-regol-docum e garant-mio-futuro istruzione per-avere-un-esp l' attiv-culturale amo-la-cultura e amo-lo-sport chiedo-l-aiuto alle-pers-esterne",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-hanno-detto,,SPECIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"ho-appreso queste-info tr-tv, tr-assist-soc, tr-volontariato",,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,mi-ha-detto qualcuno,,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,sono da-poco-in-carc e quello-che-ho capito e xche-m-piac-leg e conosco uno-lavora-in-bibl,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-fatto tanta-scuola qui-dentro alcune-cose che fanno nella-vita-norm io le-so-gia ma ci-vuole-del-tempo,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"comp-di-cella 
",,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so queste-cose in-carc 
",,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"xche-lo-so che queste-cose in-carc 
",,COMMENTO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"con-la-pratica 
",,COMMENTO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"dai propri-connazion e da-tv 
",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,con un avviso nella-sezione sono-riusc-a-sapere le seguenti opport-trattam,,COMMENTO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info da (amici),,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-visto dentro un-altro,,SPECIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo da-altri-imputati che sono-stati in-altri,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-saputo da-altri-imputati che sono-stati in-altri,,COMMENTO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,li-ho nei manifesti,,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni",,SANCIRE LA REALTÀ
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"tutti i trattam-rieduc che noi conosciamo possiamo-ringr al direttore del-carc che si e sempre dimostrato molto int-al-beness di-noi, ed anche alla coll-person-peni",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,perche e-molto-normale qui,,GIUSTIFICAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l' unico-cont che ho con-l-esterno sono le telefonate,,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"in-primo-luogo, l' unico-mezzo che ho per mantenere-il-cont con-mondo-esterno sono le lettere",,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr le pers-gia-st-deten,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le ho-conosciute attr-le-norme dell-istituto,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,nell-ist-penit-spag seguivo-corso-univ dato-che l' universita un ed si-occupava di chi voleva seguire una carriera-universitaria rapp-con-i-parenti sono molto importanti nel-mio-caso sono padre-di-5-piccoli-figli e in-spagna comunicavo-dir-loro dato-che il carcere-era-fornito di telefoni-pubblici per cui parlavo tutti-i-giorni con-comp-mia-famig cosa che qui-in-italia e-impossibile dovuto al sistema-repressivo e sistema-atavico che esiste attualmente sia per la comunicazione che per gli studi tra le tante-cose; tutto-ci? rende il trattam-rieduc-obsol,,NON RISPOSTA
